Clump_Name,idx_cores,Ipeak_DCOp_pb,err_Ipeak_DCOp_pb,vlsr_DCOp,err_vlsr_DCOp,sig_DCOp,err_sig_DCOp,sig_nth_DCOp,err_sig_nth_DCOp,Mach_DCOp,err_Mach_DCOp,Ipeak_N2Dp_pb,err_Ipeak_N2Dp_pb,vlsr_N2Dp,err_vlsr_N2Dp,sig_N2Dp,err_sig_N2Dp,sig_nth_N2Dp,err_sig_nth_N2Dp,Mach_N2Dp,err_Mach_N2Dp
,,K,K,km/s,km/s,km/s,km/s,km/s,km/s,,,K,K,km/s,km/s,km/s,km/s,km/s,km/s,,
G14.49,24,,,,,,,,,,,,,,,,,,,,
G14.49,25,,,,,,,,,,,,,,,,,,,,
G14.49,26,,,,,,,,,,,,,,,,,,,,
G14.49,27,,,,,,,,,,,0.61,0.06,39.42,0.04,0.13,0.05,0.09,0.07,0.41,0.3
G14.49,28,,,,,,,,,,,,,,,,,,,,
G14.49,29,,,,,,,,,,,,,,,,,,,,
G14.49,30,,,,,,,,,,,,,,,,,,,,
G14.49,31,0.31,0.06,38.06,0.05,0.25,0.05,0.23,0.06,0.97,0.25,0.46,0.05,38.07,0.03,0.14,0.04,0.1,0.05,0.43,0.21
G14.49,32,,,,,,,,,,,,,,,,,,,,
G14.49,33,,,,,,,,,,,,,,,,,,,,
G14.49,34,,,,,,,,,,,,,,,,,,,,
G14.49,35,,,,,,,,,,,0.42,0.04,40.57,0.07,0.26,0.19,0.24,0.2,1.11,0.93
G14.49,36,,,,,,,,,,,,,,,,,,,,
G14.49,37,,,,,,,,,,,,,,,,,,,,
G28.23,1,,,,,,,,,,,,,,,,,,,,
G28.23,2,0.42,0.04,79.97,0.05,0.43,0.05,0.42,0.05,2.15,0.31,0.42,0.04,79.94,0.05,0.13,0.04,0.09,0.05,0.47,0.29
G28.23,3,0.21,0.03,80.88,0.1,0.58,0.1,0.57,0.11,3.24,0.67,,,,,,,,,,
G28.23,4,0.42,0.08,79.7,0.07,0.31,0.07,0.29,0.07,1.34,0.33,,,,,,,,,,
G28.23,5,0.39,0.04,79.32,0.06,0.57,0.06,0.56,0.06,3.32,0.51,,,,,,,,,,
G28.23,6,0.23,0.04,80.05,0.08,0.38,0.08,0.37,0.08,1.73,0.43,,,,,,,,,,
G28.23,7,,,,,,,,,,,,,,,,,,,,
G28.23,8,0.39,0.03,78.74,0.06,0.68,0.06,0.67,0.06,3.45,0.38,,,,,,,,,,
G28.23,9,,,,,,,,,,,,,,,,,,,,
G28.23,10,,,,,,,,,,,,,,,,,,,,
G28.23,11,,,,,,,,,,,,,,,,,,,,
G28.23,12,0.44,0.05,78.3,0.04,0.32,0.04,0.31,0.04,1.69,0.28,,,,,,,,,,
G28.23,13,,,,,,,,,,,,,,,,,,,,
