Clump_Name,cores,N_H2,n_H2,T_nh3, I_C18O ,err_ I_C18O ,vlsr_C18O,err_vlsr_C18O,sig_C18O,err_sig_C18O,N_C18O,err_N_C18O, I_DCOp ,err_ I_DCOp ,vlsr_DCOp,err_vlsr_DCOp,sig_DCOp,err_sig_DCOp,N_DCOp,err_N_DCOp, I_N2Dp ,err_ I_N2Dp ,vlsr_N2Dp,err_vlsr_N2Dp,sig_N2Dp,err_sig_N2Dp,N_N2Dp,err_N_N2Dp, I_H2CO ,err_ I_H2CO ,vlsr_H2CO,err_vlsr_H2CO,sig_H2CO,err_sig_H2CO,N_H2CO,err_N_H2CO, I_CH3OH ,err_ I_CH3OH ,vlsr_CH3OH,err_vlsr_CH3OH,sig_CH3OH,err_sig_CH3OH,N_CH3OH,err_N_CH3OH, I_smoothSiO ,err_ I_smoothSiO ,vlsr_smoothSiO,err_vlsr_smoothSiO,sig_smoothSiO,err_sig_smoothSiO,N_smoothSiO,err_N_smoothSiO, I_CCD ,err_ I_CCD ,vlsr_CCD,err_vlsr_CCD,sig_CCD,err_sig_CCD,N_CCD,err_N_CCD, I_DCN ,err_ I_DCN ,vlsr_DCN,err_vlsr_DCN,sig_DCN,err_sig_DCN,N_DCN,err_N_DCN, I_13CS,err_ I_13CS,vlsr_13CS,err_vlsr_13CS,sig_13CS,err_sig_13CS,N_13CS,err_N_13CS
,,cm^-2,cm^-3,K,K,K,km/s,km/s,km/s,km/s,cm^-2,cm^-2,K,K,km/s,km/s,km/s,km/s,cm^-2,cm^-2,K,K,km/s,km/s,km/s,km/s,cm^-2,cm^-2,K,K,km/s,km/s,km/s,km/s,cm^-2,cm^-2,K,K,K,K,km/s,km/s,cm^-2,cm^-2,K,K,km/s,km/s,km/s,km/s,cm^-2,cm^-2,K,K,km/s,km/s,km/s,km/s,cm^-2,cm^-2,K,K,km/s,km/s,km/s,km/s,cm^-2,cm^-2,K,K,km/s,km/s,km/s,km/s,cm^-2,cm^-2
,,1.00E+22,1.00E+06,,,,,,,,1.00E+14,1.00E+14,,,,,,,1.00E+11,1.00E+11,,,,,,,1.00E+11,1.00E+11,,,,,,,1.00E+13,1.00E+13,,,,,,,1.00E+13,1.00E+13,,,,,,,1.00E+12,1.00E+12,,,,,,,1.00E+12,1.00E+12,,,,,,,1.00E+12,,,,,,,,1.00E+12,1.00E+12
G14.49,20,6.65,5.69,17.2,1.71,0.07,40.42,0.04,0.77,0.04,21.4,1.76,0.66,0.09,37.67,0.04,0.28,0.04,2.73,0.59,-,-,-,-,-,-,-,-,1.87,0.06,41.01,0.03,0.88,0.03,1.71,0.27,0.22,0.02,35.97,0.45,5.19,0.45,3.34,0.63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G14.49,21,6.41,2.03,13.9,1.19,0.04,40.73,0.05,1.43,0.05,27.07,1.87,0.35,0.07,40.07,0.06,0.24,0.06,1.35,0.43,1.14,0.11,39.7,0.02,0.17,0.04,6.1,1.55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G14.49,22,7.32,9.04,14,2.32,0.07,39.96,0.03,0.83,0.03,31.08,2.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.28,0.03,40.65,0.15,1.14,0.15,0.33,0.07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G14.49,23,5.64,2.7,15.9,1.03,0.08,44.32,0.05,0.55,0.05,8.91,1.09,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.24,0.02,37.86,0.27,3.71,0.27,0.91,0.16,-,-,-,-,-,-,-,-,0.24,0.03,35.58,0.18,1.28,0.18,1.16,0.23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G14.49,24,5.38,5.49,16.2,1.4,0.12,44.33,0.06,0.62,0.06,13.6,1.88,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.61,0.03,38.01,0.1,1.85,0.1,1.15,0.19,0.36,0.03,37.92,0.14,1.63,0.14,1.81,0.34,0.45,0.04,37.69,0.1,1.09,0.1,1.8,0.24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G14.49,25,5.36,2.73,14.5,1.88,0.04,40.83,0.04,1.37,0.04,40.23,2.39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.12,0.02,38.28,0.26,1.11,0.26,0.48,0.16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G14.49,26,4.3,2.56,15.9,1.76,0.06,44.09,0.03,0.66,0.03,17.89,1.29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.39,0.03,38.58,0.11,1.27,0.11,0.51,0.1,0.4,0.03,38.68,0.09,0.95,0.09,1.21,0.24,0.56,0.05,38.97,0.07,0.64,0.07,1.36,0.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G14.49,27,5.52,3.51,14.7,2.39,0.05,40.08,0.02,0.9,0.02,33.6,1.98,-,-,-,-,-,-,-,-,0.61,0.06,39.42,0.04,0.13,0.05,2.58,0.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G14.49,28,3.94,1.75,15.2,0.89,0.1,43.7,0.07,0.55,0.07,7.49,1.29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.38,0.03,38.41,0.16,1.87,0.16,0.72,0.13,0.47,0.04,38.49,0.07,0.79,0.07,1.27,0.24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G14.49,29,4.94,3.55,14.8,1.96,0.06,40.84,0.05,1.29,0.05,39.31,2.68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G14.49,30,4.36,3.96,15.2,1.38,0.1,44.26,0.05,0.55,0.05,11.58,1.42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G14.49,31,3.9,1.32,15.6,1.07,0.03,39.46,0.03,1.06,0.03,17.25,1.12,0.31,0.06,38.06,0.05,0.25,0.05,1.17,0.33,0.46,0.05,38.07,0.03,0.14,0.04,3,0.83,0.35,0.01,40.05,0.08,1.63,0.08,0.58,0.09,0.17,0.01,39.38,0.19,1.86,0.19,1.05,0.21,0.15,0.02,36.47,0.17,1.23,0.17,0.73,0.14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G14.49,32,5.34,5.59,13.8,1.76,0.07,42.1,0.07,1.53,0.07,42.37,3.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G14.49,33,18.32,7.43,6.5,0.88,0.08,44.12,0.07,0.67,0.07,17.98,2.56,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.71,0.03,39.96,0.06,1.13,0.06,1.56,0.25,0.29,0.03,39.47,0.13,1.16,0.13,19.01,3.96,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G14.49,34,4.28,2.3,14.2,1.57,0.06,41.59,0.07,1.65,0.07,39.7,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G14.49,35,4.16,2.29,13.2,0.99,0.08,43.37,0.05,0.52,0.05,8,1.11,-,-,-,-,-,-,-,-,0.42,0.04,40.57,0.07,0.26,0.19,3.15,2.29,0.21,0.03,41.17,0.17,0.91,0.17,0.19,0.06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G14.49,36,3.6,2.95,14.6,1.24,0.06,41.58,0.08,1.49,0.08,27.85,2.46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G14.49,37,2.7,1.15,15.7,0.86,0.05,38.67,0.06,0.82,0.06,10.47,1.13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.42,0.03,39.91,0.07,1.01,0.07,0.43,0.08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G28.23,1,7.05,2.66,9.9,0.47,0.03,79.03,0.21,3.08,0.21,26.23,2.64,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G28.23,2,7.47,1.58,10.7,1.06,0.03,79.95,0.05,1.29,0.05,23.66,1.6,0.42,0.04,79.97,0.05,0.43,0.05,3.55,0.56,0.42,0.04,79.94,0.05,0.13,0.04,5.35,1.73,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G28.23,3,9.27,2.05,8.9,0.86,0.03,80.77,0.07,1.7,0.07,28.98,2.07,0.21,0.03,80.88,0.1,0.58,0.1,3.02,0.72,-,-,-,-,-,-,-,-,0.1,0.01,80.88,0.25,1.57,0.25,0.19,0.05,0.09,0.02,71.67,0.17,0.68,0.17,0.84,0.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G28.23,4,5.24,3.43,13.5,1.17,0.06,79.91,0.06,1.02,0.06,18.7,1.64,0.42,0.08,79.7,0.07,0.31,0.07,2.11,0.61,-,-,-,-,-,-,-,-,0.2,0.03,79.35,0.16,0.78,0.16,0.16,0.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G28.23,5,9.31,1.96,8.1,1.38,0.04,79.25,0.03,0.92,0.03,27.33,1.77,0.39,0.04,79.32,0.06,0.57,0.06,6.5,0.94,-,-,-,-,-,-,-,-,0.23,0.02,79.19,0.07,0.7,0.07,0.22,0.04,0.12,0.02,79.14,0.14,0.85,0.14,1.99,0.52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G28.23,6,3.44,1.12,12.7,0.65,0.06,80.81,0.06,0.6,0.06,6.04,0.91,0.23,0.04,80.05,0.08,0.38,0.08,1.48,0.43,-,-,-,-,-,-,-,-,0.55,0.02,82.1,0.08,1.65,0.08,0.93,0.15,0.19,0.02,82.03,0.21,2.09,0.21,1.9,0.38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G28.23,7,3.44,2.05,13.5,0.57,0.09,78.9,0.1,0.52,0.09,4.49,1.06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G28.23,8,4.87,0.82,10.8,1.19,0.04,78.93,0.03,0.77,0.03,15.23,1.06,0.39,0.03,78.74,0.06,0.68,0.06,5.21,0.69,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G28.23,9,2.57,0.81,16.3,0.82,0.1,73.69,0.08,0.5,0.07,6.12,1.14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G28.23,10,3.27,1.33,11.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G28.23,11,3.15,0.68,11.5,0.35,0.03,80.18,0.19,1.76,0.19,9.68,1.43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G28.23,12,4.04,0.75,9.5,0.33,0.02,77.1,0.21,3.43,0.21,20.5,1.94,0.44,0.05,78.3,0.04,0.32,0.04,3.24,0.57,-,-,-,-,-,-,-,-,0.12,0.02,78.52,0.17,0.91,0.17,0.13,0.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G28.23,13,5.87,1.45,7,0.51,0.04,78.73,0.12,1.2,0.12,15.47,2.15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G327.11,1,6.82,2.56,14.1,0.23,0.02,-59.95,0.11,1.44,0.11,5.18,0.59,0.22,0.03,-59.26,0.05,0.32,0.05,1.11,0.22,0.33,0.03,-59.31,0.04,0.19,0.05,2.72,0.78,0.6,0.01,-59.93,0.05,1.97,0.05,1.2,0.18,-,-,-,-,-,-,-,-,0.06,0.01,-63.53,1.04,7.87,1.04,2.06,0.37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G327.11,2,11.97,6.85,10.4,0.94,0.05,-55.02,0.05,0.75,0.05,12.71,1.27,0.36,0.07,-59.37,0.05,0.23,0.05,1.71,0.51,0.6,0.06,-59.33,0.04,0.25,0.12,5.68,2.8,0.62,0.02,-58.49,0.05,1.19,0.05,0.81,0.13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G327.11,3,2.42,1.4,17,0.28,0.04,-57.3,0.09,0.53,0.1,2.14,0.53,-,-,-,-,-,-,-,-,0.11,0.01,-58.92,0.13,0.44,0.35,1.23,0.99,0.32,0.01,-57.98,0.11,3.83,0.11,1.28,0.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G327.11,4,1.79,1.01,16.4,0.85,0.03,-57.94,0.02,0.53,0.03,6.5,0.52,-,-,-,-,-,-,-,-,0.21,0.02,-59.48,0.04,0.1,0.04,0.7,0.3,0.13,0.01,-59.31,0.13,1.09,0.13,0.14,0.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G327.11,5,2.39,0.49,15.9,0.59,0.03,-59.29,0.09,1.44,0.09,12.37,1.22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G327.11,6,2.63,2.83,16.9,0.25,0.02,-59.05,0.21,2.08,0.21,7.7,1.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G327.11,7,2.29,2.62,18.6,0.65,0.03,-60.23,0.06,1.13,0.06,10.83,0.91,0.28,0.05,-59.2,0.05,0.26,0.05,1.05,0.28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G327.11,8,2.21,1.77,15.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G327.11,9,2.32,0.84,14.6,0.95,0.03,-58.84,0.02,0.76,0.02,10.54,0.67,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.07,0.02,-58.63,0.15,0.58,0.15,0.04,0.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G327.11,10,2.77,0.95,12.6,0.21,0.02,-59.77,0.13,1.47,0.13,4.7,0.59,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G327.11,11,3.21,0.9,11.1,0.27,0.02,-59.56,0.11,1.47,0.11,6.49,0.69,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G327.11,12,1.31,0.76,20.4,0.52,0.02,-59.02,0.08,1.66,0.08,12.53,1.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G327.11,13,1.78,0.23,15.9,-,-,-,-,-,-,-,-,0.19,0.03,-58.89,0.07,0.38,0.07,1.12,0.28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G327.11,14,1.77,0.82,14.7,1.47,0.03,-58.44,0.02,0.67,0.02,14.26,0.82,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G327.11,15,2.16,1.88,13.4,1.11,0.04,-57.93,0.03,0.59,0.03,9.65,0.74,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G327.11,16,1.84,1.4,14.2,0.57,0.05,-60.6,0.05,0.55,0.05,4.58,0.62,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G327.11,17,1.4,0.86,15.9,0.48,0.03,-58.5,0.11,1.3,0.11,8.93,1.06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G327.11,18,0.81,0.8,22.5,0.79,0.05,-60.58,0.04,0.63,0.04,7.33,0.74,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G327.11,19,0.91,0.44,18.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G327.11,20,1.37,0.98,14.7,1.9,0.04,-58.2,0.02,0.69,0.02,18.97,1.09,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G327.11,21,1.42,0.64,14.4,0.92,0.03,-58.72,0.03,0.78,0.03,10.35,0.68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G331.37,1,4.19,1.19,14.8,1.25,0.06,-87.54,0.04,0.75,0.04,14.18,1.2,0.18,0.03,-87.72,0.08,0.48,0.08,1.38,0.3,0.36,0.04,-87.71,0.04,0.27,0.06,2.69,0.69,0.25,0.01,-88.33,0.1,2.49,0.1,0.64,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G331.37,2,2.91,1.82,16,0.92,0.1,-88,0.08,0.65,0.08,8.83,1.53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.28,0.02,-87.87,0.07,0.83,0.07,0.24,0.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G331.37,3,2.42,2,16.7,0.46,0.09,-89.68,0.12,0.54,0.11,3.59,1.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G331.37,4,1.52,0.33,17.8,0.46,0.13,-88.7,0.32,0.98,0.32,6.48,2.87,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.17,0.01,-89.67,0.09,1.68,0.09,0.31,0.05,-,-,-,-,-,-,-,-,0.09,0.01,-90.8,0.14,1.6,0.14,0.51,0.07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G331.37,5,1.82,0.84,17.9,0.88,0.17,-87.03,0.14,0.61,0.14,7.66,2.33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.17,0.01,-85.78,0.18,2.01,0.18,0.35,0.07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G331.37,6,2.07,0.91,16,1.19,0.13,-87.27,0.08,0.63,0.08,10.81,1.92,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.15,0.02,-87.3,0.13,1.02,0.13,0.15,0.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G331.37,7,2.1,0.68,16,1.77,0.09,-87.51,0.03,0.44,0.03,11.33,1.06,0.4,0.09,-87.42,0.07,0.27,0.07,1.63,0.57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G331.37,8,3.28,0.78,12.3,2.73,0.1,-87.94,0.03,0.6,0.03,25.28,1.93,0.64,0.14,-87.79,0.03,0.12,0.03,1.41,0.49,-,-,-,-,-,-,-,-,0.3,0.04,-87.75,0.1,0.64,0.1,0.2,0.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G331.37,9,3.28,2.82,12.9,0.98,0.04,-87.46,0.04,0.76,0.04,11.3,0.93,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G331.37,10,2.09,1.16,16,1.32,0.05,-87.82,0.02,0.41,0.02,7.87,0.57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G331.37,11,4.97,2.9,9,1.13,0.05,-87.72,0.03,0.39,0.02,8.33,0.71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.29,0.07,-102.25,0.04,0.11,0.03,8.91,3.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G331.37,12,1.6,0.3,15.1,-,-,-,-,-,-,-,-,0.12,0.02,-88.15,0.06,0.27,0.06,0.51,0.15,0.2,0.02,-88.19,0.04,0.1,0.03,1.12,0.32,0.08,0.01,-88.48,0.15,0.8,0.15,0.06,0.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G331.37,13,1.93,0.88,14.6,-,-,-,-,-,-,-,-,0.21,0.05,-88.23,0.12,0.41,0.12,1.39,0.53,-,-,-,-,-,-,-,-,0.33,0.04,-87.95,0.09,0.67,0.09,0.23,0.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
