Clump_Name,cores,N_H2,n_H2,T_nh3, I_C18O ,err_ I_C18O ,vlsr_C18O,err_vlsr_C18O,sig_C18O,err_sig_C18O,N_C18O,err_N_C18O, I_DCOp ,err_ I_DCOp ,vlsr_DCOp,err_vlsr_DCOp,sig_DCOp,err_sig_DCOp,N_DCOp,err_N_DCOp, I_N2Dp ,err_ I_N2Dp ,vlsr_N2Dp,err_vlsr_N2Dp,sig_N2Dp,err_sig_N2Dp,N_N2Dp,err_N_N2Dp, I_H2CO ,err_ I_H2CO ,vlsr_H2CO,err_vlsr_H2CO,sig_H2CO,err_sig_H2CO,N_H2CO,err_N_H2CO, I_CH3OH ,err_ I_CH3OH ,vlsr_CH3OH,err_vlsr_CH3OH,sig_CH3OH,err_sig_CH3OH,N_CH3OH,err_N_CH3OH, I_smoothSiO ,err_ I_smoothSiO ,vlsr_smoothSiO,err_vlsr_smoothSiO,sig_smoothSiO,err_sig_smoothSiO,N_smoothSiO,err_N_smoothSiO, I_CCD ,err_ I_CCD ,vlsr_CCD,err_vlsr_CCD,sig_CCD,err_sig_CCD,N_CCD,err_N_CCD, I_DCN ,err_ I_DCN ,vlsr_DCN,err_vlsr_DCN,sig_DCN,err_sig_DCN,N_DCN,err_N_DCN, I_13CS,err_ I_13CS,vlsr_13CS,err_vlsr_13CS,sig_13CS,err_sig_13CS,N_13CS,err_N_13CS
,,cm^-2,cm^-3,K,K,K,km/s,km/s,km/s,km/s,cm^-2,cm^-2,K,K,km/s,km/s,km/s,km/s,cm^-2,cm^-2,K,K,km/s,km/s,km/s,km/s,cm^-2,cm^-2,K,K,km/s,km/s,km/s,km/s,cm^-2,cm^-2,K,K,K,K,km/s,km/s,cm^-2,cm^-2,K,K,km/s,km/s,km/s,km/s,cm^-2,cm^-2,K,K,km/s,km/s,km/s,km/s,cm^-2,cm^-2,K,K,km/s,km/s,km/s,km/s,cm^-2,cm^-2,K,K,km/s,km/s,km/s,km/s,cm^-2,cm^-2
,,1.00E+22,1.00E+06,,,,,,,,1.00E+14,1.00E+14,,,,,,,1.00E+11,1.00E+11,,,,,,,1.00E+11,1.00E+11,,,,,,,1.00E+13,1.00E+13,,,,,,,1.00E+13,1.00E+13,,,,,,,1.00E+12,1.00E+12,,,,,,,1.00E+12,1.00E+12,,,,,,,1.00E+12,,,,,,,,1.00E+12,1.00E+12
G10.99,10,2.9,1.33,12.8,-,-,-,-,-,-,-,-,0.29,0.05,30.46,0.05,0.28,0.05,1.39,0.36,0.42,0.04,30.17,0.05,0.11,0.05,1.75,0.84,0.38,0.03,30.48,0.07,0.68,0.07,0.26,0.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G10.99,11,5.27,5.84,11.8,0.33,0.06,30.74,0.23,1.1,0.23,5.99,1.68,0.87,0.16,29.78,0.03,0.13,0.02,2.02,0.55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.09,0.11,20.21,0.05,0.34,0.04,2.14,0.34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G10.99,12,4.8,4.56,11.4,0.53,0.09,30.14,0.11,0.54,0.11,4.74,1.26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.36,0.04,31.83,0.2,1.71,0.2,0.64,0.14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G10.99,13,3.15,1.52,13.2,0.8,0.06,28.99,0.08,0.96,0.08,11.83,1.48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.64,0.03,29.05,0.07,1.26,0.07,0.82,0.14,0.19,0.03,28.82,0.19,0.92,0.19,0.78,0.24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G10.99,14,4.25,2.86,11.3,0.63,0.07,29.5,0.13,1.03,0.13,10.6,1.88,0.32,0.06,28.76,0.08,0.38,0.08,2.32,0.64,-,-,-,-,-,-,-,-,0.21,0.03,29.89,0.19,1,0.19,0.22,0.06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G10.99,15,3.73,1.83,12.5,1.1,0.09,29.54,0.08,0.91,0.08,15.76,2.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G10.99,16,3.53,1.73,11.8,0.68,0.07,27.84,0.08,0.63,0.08,6.79,1.16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G10.99,17,3.16,0.98,12.3,0.22,0.05,28.97,0.39,1.57,0.39,5.49,1.83,0.17,0.03,29.31,0.11,0.59,0.11,1.75,0.44,-,-,-,-,-,-,-,-,0.47,0.02,30.62,0.05,1.23,0.05,0.6,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G10.99,18,3.71,2.49,11.7,0.47,0.07,27.91,0.13,0.77,0.13,5.83,1.33,0.25,0.06,28.86,0.07,0.27,0.07,1.24,0.44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G10.99,19,2.96,2.89,13.5,1.04,0.1,29.76,0.08,0.71,0.08,11.27,1.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.19,0.05,30.12,0.17,0.6,0.17,0.12,0.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G10.99,20,3.66,3.72,11.6,0.54,0.1,29.53,0.14,0.65,0.14,5.59,1.64,0.41,0.07,28.55,0.06,0.33,0.06,2.58,0.66,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G10.99,21,2.73,2.16,13.3,0.59,0.08,29.63,0.09,0.6,0.1,5.35,1.18,0.39,0.05,29.65,0.06,0.36,0.06,2.35,0.52,-,-,-,-,-,-,-,-,0.24,0.04,29.65,0.13,0.74,0.13,0.18,0.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G10.99,22,3.67,3.1,11.3,0.56,0.07,28.03,0.12,0.88,0.12,7.96,1.53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G10.99,23,3.16,1.87,11.2,0.38,0.05,28.47,0.19,1.16,0.19,7.12,1.57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.1,0.02,29.22,0.41,1.68,0.41,0.18,0.06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G10.99,24,1.96,0.75,14.9,0.3,0.07,29.18,0.21,0.75,0.21,3.34,1.23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.15,0.02,30.38,0.22,1.14,0.22,0.17,0.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G10.99,25,2.38,0.49,12.6,0.29,0.05,28.63,0.11,0.55,0.1,2.44,0.62,0.29,0.05,28.89,0.04,0.23,0.04,1.14,0.3,-,-,-,-,-,-,-,-,0.09,0.01,30.08,0.3,1.56,0.3,0.14,0.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G10.99,26,2.03,1.52,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.36,0.03,29.2,0.09,1.07,0.09,0.39,0.07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G10.99,27,2.54,2.3,12.7,0.49,0.08,29.84,0.14,0.71,0.14,5.29,1.41,0.24,0.05,29.8,0.1,0.41,0.1,1.71,0.54,0.53,0.05,29.44,0.05,0.12,0.08,2.69,1.87,0.27,0.03,30.43,0.13,0.93,0.13,0.26,0.06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G10.99,28,1.91,1.04,14.1,0.48,0.08,27.67,0.12,0.6,0.12,4.29,1.17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.68,0.02,28.85,0.07,2,0.07,1.37,0.22,0.38,0.03,28.49,0.11,1.18,0.11,1.74,0.34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G14.49,1,19.75,9.6,16,1.65,0.06,40.06,0.04,1.06,0.04,34.21,2.43,0.46,0.03,38.82,0.06,0.69,0.06,4.86,0.59,0.51,0.05,38.55,0.05,0.3,0.08,5.82,1.7,1.22,0.03,40.33,0.07,2.55,0.07,3.18,0.49,0.63,0.02,39.51,0.08,2.34,0.08,4.69,0.72,0.16,0.01,30.07,0.54,10.81,0.54,6.68,0.54,-,-,-,-,-,-,-,-,0.26,0.02,39.35,0.12,1.21,0.12,1.64,0.25,-,-,-,-,-,-,-,-
G14.49,2,19.33,12.31,18.2,1.49,0.03,39.96,0.04,1.69,0.04,51.72,3.09,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.08,0.07,41.71,0.03,1.33,0.03,5.75,0.87,2.21,0.05,41.19,0.03,1.4,0.03,8.38,1.27,0.46,0.02,40.18,0.22,5.22,0.22,8.08,0.59,-,-,-,-,-,-,-,-,0.31,0.03,41.25,0.15,1.5,0.15,2.05,0.31,-,-,-,-,-,-,-,-
G14.49,3,11.04,5.53,15.8,1.71,0.06,40.69,0.03,0.85,0.03,25.01,1.73,-,-,-,-,-,-,-,-,0.47,0.05,41.05,0.05,0.21,0.08,2.73,1.14,1.25,0.05,41.23,0.05,1.31,0.05,1.67,0.27,0.2,0.01,39.17,0.3,4.16,0.3,2.74,0.48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G14.49,4,13.55,10.47,17,0.89,0.04,41.09,0.17,3.03,0.17,49.02,4.32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.75,0.03,39.86,0.09,5.16,0.09,9.34,1.4,1.24,0.04,38.9,0.15,3.74,0.15,13.63,2.16,0.45,0.01,42.67,0.47,20.2,0.52,32.39,1.89,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G14.49,5,13.43,12.49,16.5,2.46,0.06,40.37,0.03,1.09,0.03,48.43,2.89,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.15,0.03,40.65,0.03,0.96,0.03,1.13,0.17,0.78,0.03,40.49,0.04,0.76,0.03,1.81,0.29,0.47,0.05,40.4,0.07,0.54,0.07,0.93,0.16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G14.49,6,15.49,17.39,16.8,1.22,0.04,39.36,0.06,1.59,0.06,36.13,2.49,0.6,0.11,39.29,0.05,0.23,0.05,2.06,0.57,1.3,0.13,41.39,0.04,0.27,0.09,10.67,3.58,1.34,0.05,44.18,0.15,3.7,0.15,5.1,0.8,0.62,0.06,41.39,0.13,1.21,0.13,2.21,0.46,0.37,0.02,48.89,0.24,4.01,0.24,5.3,0.49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G14.49,7,11.72,6.58,16.1,2.11,0.05,40.56,0.02,0.97,0.02,35.82,2.11,0.64,0.07,40.08,0.03,0.22,0.03,2.19,0.38,1.83,0.18,40.2,0.02,0.21,0.03,12.94,2.22,0.54,0.02,40.24,0.05,0.9,0.05,0.5,0.08,0.26,0.02,40.06,0.1,1.16,0.1,0.94,0.18,0.37,0.07,40.85,0.05,0.25,0.05,0.35,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G14.49,8,13.92,13.11,15.6,1.83,0.07,40.19,0.04,0.95,0.04,31.39,2.3,0.38,0.06,40.66,0.07,0.39,0.07,2.33,0.55,0.51,0.05,40.35,0.06,0.34,0.18,4.27,2.35,2.03,0.05,40.78,0.03,1.27,0.03,2.63,0.4,1.39,0.03,40.29,0.03,1.18,0.03,5.42,0.83,0.23,0.01,39.14,0.49,7.22,0.49,6.56,0.67,-,-,-,-,-,-,-,-,0.34,0.07,40.26,0.1,0.43,0.1,0.77,0.25,-,-,-,-,-,-,-,-
G14.49,9,10.3,10.4,15.7,2.45,0.05,41.1,0.03,1.18,0.03,48.98,2.78,-,-,-,-,-,-,-,-,0.41,0.04,40.27,0.06,0.22,0.11,2.54,1.26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
